Bird Name	Folder
Abert's Towhee	Aberts_Towhee
Acadian Flycatcher	Acadian_Flycatcher
Acorn Woodpecker	Acorn_Woodpecker
African Collared-Dove	African_Collared-Dove
African Silverbill	African_Silverbill
Agami Heron	Agami_Heron
Ainley's Storm-Petrel	Ainleys_Storm-Petrel
Akekee	Akekee
Akiapolaau	Akiapolaau
Akikiki	Akikiki
Akohekohe	Akohekohe
Alder Flycatcher	Alder_Flycatcher
Aleutian Tern	Aleutian_Tern
Allen's Hummingbird	Allens_Hummingbird
Altamira Oriole	Altamira_Oriole
Amaui	Amaui
Amazon Kingfisher	Amazon_Kingfisher
American Avocet	American_Avocet
American Barn Owl	American_Barn_Owl
American Bittern	American_Bittern
American Black Duck	American_Black_Duck
American Coot	American_Coot
American Crow	American_Crow
American Dipper	American_Dipper
American Flamingo	American_Flamingo
American Golden-Plover	American_Golden-Plover
American Goldfinch	American_Goldfinch
American Goshawk	American_Goshawk
American Herring Gull	Herring_Gull
American Kestrel	American_Kestrel
American Oystercatcher	American_Oystercatcher
American Pipit	American_Pipit
American Pygmy Kingfisher	American_Pygmy_Kingfisher
American Redstart	American_Redstart
American Robin	American_Robin
American Three-toed Woodpecker	American_Three-toed_Woodpecker
American Tree Sparrow	American_Tree_Sparrow
American White Pelican	American_White_Pelican
American Wigeon	American_Wigeon
American Woodcock	American_Woodcock
Amethyst-throated Mountain-gem	Amethyst-throated_Mountain-gem
Ancient Murrelet	Ancient_Murrelet
Anhinga	Anhinga
Anianiau	Anianiau
Anna's Hummingbird	Annas_Hummingbird
Antillean Nighthawk	Antillean_Nighthawk
Antillean Palm Swift	Antillean_Palm_Swift
Apapane	Apapane
Aplomado Falcon	Aplomado_Falcon
Arctic Loon	Arctic_Loon
Arctic Tern	Arctic_Tern
Arctic Warbler	Arctic_Warbler
Arizona Woodpecker	Arizona_Woodpecker
Ash-throated Flycatcher	Ash-throated_Flycatcher
Ashy Storm-Petrel	Ashy_Storm-Petrel
Asian Brown Flycatcher	Asian_Brown_Flycatcher
Asian Rosy-Finch	Asian_Rosy-Finch
Atlantic Puffin	Atlantic_Puffin
Atlantic Yellow-nosed (Yellow-nosed) Albatross	Atlantic_Yellow-nosed_(Yellow-nosed)_Albatross
Audubon's Oriole	Audubons_Oriole
Audubon's Warbler	Audubons_Warbler
Aztec Thrush	Aztec_Thrush
Azure Gallinule*	Azure_Gallinule*
Bachman's Sparrow	Bachmans_Sparrow
Bachman's Warbler	Bachmans_Warbler
Bahama Mockingbird	Bahama_Mockingbird
Bahama Swallow	Bahama_Swallow
Bahama Woodstar	Bahama_Woodstar
Baikal Teal	Baikal_Teal
Baird's Sandpiper	Bairds_Sandpiper
Baird's Sparrow	Bairds_Sparrow
Bald Eagle	Bald_Eagle
Baltimore Oriole	Baltimore_Oriole
Bananaquit	Bananaquit
Band-rumped Storm-Petrel	Band-rumped_Storm-Petrel
Band-tailed Pigeon	Band-tailed_Pigeon
Bank Swallow	Bank_Swallow
Bar-tailed Godwit	Bar-tailed_Godwit
Bare-throated Tiger-Heron	Bare-throated_Tiger-Heron
Barn Owl	Barn_Owl
Barn Swallow	Barn_Swallow
Barnacle Goose	Barnacle_Goose
Barolo Shearwater	Barolo_Shearwater
Barred Owl	Barred_Owl
Barrow's Goldeneye	Barrows_Goldeneye
Bat Falcon	Bat_Falcon
Bay-breasted Warbler	Bay-breasted_Warbler
Belcher's Gull	Belchers_Gull
Bell's Sparrow	Bells_Sparrow
Bell's Vireo	Bells_Vireo
Belted Kingfisher	Belted_Kingfisher
Bendire's Thrasher	Bendires_Thrasher
Bermuda Petrel	Bermuda_Petrel
Berylline Hummingbird	Berylline_Hummingbird
Bewick's Wren	Bewicks_Wren
Bicknell's Thrush	Bicknells_Thrush
Bishop's Oo	Bishops_Oo
Black Catbird*	Black_Catbird*
Black Francolin	Black_Francolin
Black Guillemot	Black_Guillemot
Black Kite	Black_Kite
Black Mamo	Black_Mamo
Black Noddy	Black_Noddy
Black Oystercatcher	Black_Oystercatcher
Black Phoebe	Black_Phoebe
Black Rail	Black_Rail
Black Rosy-Finch	Black_Rosy-Finch
Black Scoter	Black_Scoter
Black Skimmer	Black_Skimmer
Black Storm-Petrel	Black_Storm-Petrel
Black Swift	Black_Swift
Black Tern	Black_Tern
Black Turnstone	Black_Turnstone
Black Vulture	Black_Vulture
Black-and-white Warbler	Black-and-white_Warbler
Black-backed Oriole	Black-backed_Oriole
Black-backed Woodpecker	Black-backed_Woodpecker
Black-bellied Plover	Black-bellied_Plover
Black-bellied Storm-Petrel	Black-bellied_Storm-Petrel
Black-bellied Whistling-Duck	Black-bellied_Whistling-Duck
Black-billed Cuckoo	Black-billed_Cuckoo
Black-billed Magpie	Black-billed_Magpie
Black-browed Albatross	Black-browed_Albatross
Black-capped Chickadee	Black-capped_Chickadee
Black-capped Gnatcatcher	Black-capped_Gnatcatcher
Black-capped Petrel	Black-capped_Petrel
Black-capped Vireo	Black-capped_Vireo
Black-chinned Hummingbird	Black-chinned_Hummingbird
Black-chinned Sparrow	Black-chinned_Sparrow
Black-crested Titmouse	Black-crested_Titmouse
Black-crowned Night Heron	Black-crowned_Night-Heron
Black-crowned Night-Heron	Black-crowned_Night-Heron
Black-faced Grassquit	Black-faced_Grassquit
Black-footed Albatross	Black-footed_Albatross
Black-headed Grosbeak	Black-headed_Grosbeak
Black-headed Gull	Black-headed_Gull
Black-headed Nightingale-Thrush	Black-headed_Nightingale-Thrush
Black-legged Kittiwake	Black-legged_Kittiwake
Black-necked Stilt	Black-necked_Stilt
Black-tailed Gnatcatcher	Black-tailed_Gnatcatcher
Black-tailed Godwit	Black-tailed_Godwit
Black-tailed Gull	Black-tailed_Gull
Black-throated Blue Warbler	Black-throated_Blue_Warbler
Black-throated Gray Warbler	Black-throated_Gray_Warbler
Black-throated Green Warbler	Black-throated_Green_Warbler
Black-throated Sparrow	Black-throated_Sparrow
Black-vented Oriole	Black-vented_Oriole
Black-vented Shearwater	Black-vented_Shearwater
Black-whiskered Vireo	Black-whiskered_Vireo
Black-winged Petrel	Black-winged_Petrel
Black-winged Stilt	Black-winged_Stilt
Blackburnian Warbler	Blackburnian_Warbler
Blackpoll Warbler	Blackpoll_Warbler
Blue Bunting	Blue_Bunting
Blue Grosbeak	Blue_Grosbeak
Blue Jay	Blue_Jay
Blue Mockingbird	Blue_Mockingbird
Blue Rock-Thrush	Blue_Rock-Thrush
Blue-and-white Swallow	Blue-and-white_Swallow
Blue-and-yellow Macaw	Blue-and-yellow_Macaw
Blue-billed White-Tern	Blue-billed_White-Tern
Blue-black Grassquit	Blue-black_Grassquit
Blue-crowned Parakeet	Blue-crowned_Parakeet
Blue-footed Booby	Blue-footed_Booby
Blue-gray Gnatcatcher	Blue-gray_Gnatcatcher
Blue-gray Noddy	Blue-gray_Noddy
Blue-gray Tanager	Blue-gray_Tanager
Blue-headed Vireo	Blue-headed_Vireo
Blue-throated Mountain-gem	Blue-throated_Mountain-gem
Blue-winged Teal	Blue-winged_Teal
Blue-winged Warbler	Blue-winged_Warbler
Bluethroat	Bluethroat
Blyth's Reed Warbler	Blyths_Reed_Warbler
Boat-tailed Grackle	Boat-tailed_Grackle
Bobolink	Bobolink
Bohemian Waxwing	Bohemian_Waxwing
Bonaparte's Gull	Bonapartes_Gull
Bonin Petrel	Bonin_Petrel
Boreal Chickadee	Boreal_Chickadee
Boreal Owl	Boreal_Owl
Botteri's Sparrow	Botteris_Sparrow
Brambling	Brambling
Brandt's Cormorant	Brandts_Cormorant
Brant	Brant
Brant's Goose	Brants_Goose
Brewer's Blackbird	Brewers_Blackbird
Brewer's Sparrow	Brewers_Sparrow
Bridled Tern	Bridled_Tern
Bridled Titmouse	Bridled_Titmouse
Bristle-thighed Curlew	Bristle-thighed_Curlew
Broad-billed Hummingbird	Broad-billed_Hummingbird
Broad-billed Sandpiper	Broad-billed_Sandpiper
Broad-tailed Hummingbird	Broad-tailed_Hummingbird
Broad-winged Hawk	Broad-winged_Hawk
Bronzed Cowbird	Bronzed_Cowbird
Brown Booby	Brown_Booby
Brown Creeper	Brown_Creeper
Brown Jay	Brown_Jay
Brown Noddy	Brown_Noddy
Brown Pelican	Brown_Pelican
Brown Shrike	Brown_Shrike
Brown Thrasher	Brown_Thrasher
Brown-backed Solitaire	Brown-backed_Solitaire
Brown-capped Rosy-Finch	Brown-capped_Rosy-Finch
Brown-chested Martin	Brown-chested_Martin
Brown-crested Flycatcher	Brown-crested_Flycatcher
Brown-headed Cowbird	Brown-headed_Cowbird
Brown-headed Nuthatch	Brown-headed_Nuthatch
Bryan's Shearwater	Bryans_Shearwater
Budgerigar	Budgerigar
Buff-bellied Hummingbird	Buff-bellied_Hummingbird
Buff-breasted Flycatcher	Buff-breasted_Flycatcher
Buff-breasted Sandpiper	Buff-breasted_Sandpiper
Buff-collared Nightjar	Buff-collared_Nightjar
Bufflehead	Bufflehead
Buller's Shearwater	Bullers_Shearwater
Bullock's Oriole	Bullocks_Oriole
Bulwer's Petrel	Bulwers_Petrel
Bumblebee Hummingbird	Bumblebee_Hummingbird
Burrowing Owl	Burrowing_Owl
Burrowing Parakeet	Burrowing_Parakeet
Bushtit	Bushtit
Cackling Goose	Cackling_Goose
Cactus Wren	Cactus_Wren
California Condor	California_Condor
California Gnatcatcher	California_Gnatcatcher
California Gull	California_Gull
California Quail	California_Quail
California Scrub-Jay	California_Scrub-Jay
California Thrasher	California_Thrasher
California Towhee	California_Towhee
Calliope Hummingbird	Calliope_Hummingbird
Canada Goose	Canada_Goose
Canada Jay	Canada_Jay
Canada Warbler	Canada_Warbler
Canvasback	Canvasback
Canyon Towhee	Canyon_Towhee
Canyon Wren	Canyon_Wren
Cape May Warbler	Cape_May_Warbler
Cape Verde Shearwater	Cape_Verde_Shearwater
Carolina Chickadee	Carolina_Chickadee
Carolina Parakeet	Carolina_Parakeet
Carolina Wren	Carolina_Wren
Caspian Tern	Caspian_Tern
Cassia Crossbill	Cassia_Crossbill
Cassin's Auklet	Cassins_Auklet
Cassin's Finch	Cassins_Finch
Cassin's Kingbird	Cassins_Kingbird
Cassin's Sparrow	Cassins_Sparrow
Cassin's Vireo	Cassins_Vireo
Cattle Tyrant	Cattle_Tyrant
Cave Swallow	Cave_Swallow
Cedar Waxwing	Cedar_Waxwing
Cerulean Warbler	Cerulean_Warbler
Chatham Albatross	Chatham_Albatross
Chestnut Munia	Chestnut_Munia
Chestnut-backed Chickadee	Chestnut-backed_Chickadee
Chestnut-bellied Sandgrouse	Chestnut-bellied_Sandgrouse
Chestnut-collared Longspur	Chestnut-collared_Longspur
Chestnut-fronted Macaw	Chestnut-fronted_Macaw
Chestnut-sided Warbler	Chestnut-sided_Warbler
Chihuahuan Meadowlark	Chihuahuan_Meadowlark
Chihuahuan Raven	Chihuahuan_Raven
Chimney Swift	Chimney_Swift
Chinese Egret	Chinese_Egret
Chinese Hwamei	Chinese_Hwamei
Chinese Pond-Heron	Chinese_Pond-Heron
Chinese Sparrowhawk	Chinese_Sparrowhawk
Chipping Sparrow	Chipping_Sparrow
Christmas Shearwater	Christmas_Shearwater
Chuck-will's-widow	Chuck-wills-widow
Chukar	Chukar
Cinnamon Hummingbird	Cinnamon_Hummingbird
Cinnamon Teal	Cinnamon_Teal
Citrine Wagtail	Citrine_Wagtail
Clapper Rail	Clapper_Rail
Clark's Grebe	Clarks_Grebe
Clark's Nutcracker	Clarks_Nutcracker
Clay-colored Sparrow	Clay-colored_Sparrow
Clay-colored Thrush	Clay-colored_Thrush
Cliff Swallow	Cliff_Swallow
Cocos Booby	Cocos_Booby
Colima Warbler	Colima_Warbler
Collared Forest-Falcon	Collared_Forest-Falcon
Collared Plover	Collared_Plover
Common Black Hawk	Common_Black_Hawk
Common Chaffinch	Common_Chaffinch
Common Chiffchaff	Common_Chiffchaff
Common Crane	Common_Crane
Common Cuckoo	Common_Cuckoo
Common Eider	Common_Eider
Common Gallinule	Common_Gallinule
Common Goldeneye	Common_Goldeneye
Common Grackle	Common_Grackle
Common Greenshank	Common_Greenshank
Common Ground Dove	Common_Ground-Dove
Common Ground-Dove	Common_Ground-Dove
Common Gull	Common_Gull
Common Loon	Common_Loon
